"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
159,"WFF","WF Holding Ltd","Industrials","Specialty Industrial Machinery","Malaysia",28.71,,1.14,20.49%,14153203
160,"WHLR","Wheeler Real Estate Investment Trust Inc","Real Estate","REIT - Retail","USA",7.25,,2.33,28.02%,30881578
161,"WOLF","Wolfspeed Inc","Technology","Semiconductors","USA",277.73,,1.77,20.75%,49516169
162,"WRBY","Warby Parker Inc","Healthcare","Medical Instruments & Supplies","USA",3347.15,,27.44,1.61%,734819
163,"WRD","WeRide Inc. ADR","Technology","Software - Application","China",2575.99,,9.67,3.58%,4046399
164,"WSM","Williams-Sonoma, Inc","Consumer Cyclical","Specialty Retail","USA",24882.39,22.46,204.31,0.81%,431440
165,"WWW","Wolverine World Wide, Inc","Consumer Cyclical","Footwear & Accessories","USA",2486.79,29.57,30.60,-0.89%,999811
166,"YETI","YETI Holdings Inc","Consumer Cyclical","Leisure","USA",2974.09,17.47,36.62,3.43%,1142438
167,"ZVIA","Zevia PBC","Consumer Defensive","Beverages - Non-Alcoholic","USA",184.75,,2.46,0.61%,250076
168,"ZWS","Zurn Elkay Water Solutions Corp","Industrials","Pollution & Treatment Controls","USA",7868.27,46.40,46.96,2.31%,1700441
169,"ZYXI","Zynex Inc","Healthcare","Medical Distribution","USA",46.20,,1.52,4.45%,83787
